date,adj_close,ret_1d,buy_hold_signal,buy_hold_position,buy_hold_ret,equity_buy_hold,ma_200_filter_signal,ma_200_filter_position,ma_200_filter_ret,equity_ma_200_filter,vix_pct_filter_signal,vix_pct_filter_position,vix_pct_filter_ret,equity_vix_pct_filter,vrp_pct_filter_signal,vrp_pct_filter_position,vrp_pct_filter_ret,equity_vrp_pct_filter,combined_filter_signal,combined_filter_position,combined_filter_ret,equity_combined_filter
2016-01-12,163.687255859375,0.008068375014612439,1.0,1.0,0.008068375014612439,1.1014552786224738,0.0,0.0,0.0,1.0365856910387448,0.0,0.0,0.0,0.8862503452923322,0.0,0.0,0.0,0.8757480164104817,0.0,0.0,0.0,0.8683420335855
2016-01-13,159.60476684570312,-0.02494078718736159,1.0,1.0,-0.02494078718736159,1.0739841169219546,0.0,0.0,-0.0,1.0365856910387448,0.0,0.0,-0.0,0.8862503452923322,0.0,0.0,-0.0,0.8757480164104817,0.0,0.0,-0.0,0.8683420335855
2016-01-14,162.22500610351562,0.016417048873894835,1.0,1.0,0.016417048873894835,1.0916157666592492,0.0,0.0,0.0,1.0365856910387448,0.0,0.0,0.0,0.8862503452923322,0.0,0.0,0.0,0.8757480164104817,0.0,0.0,0.0,0.8683420335855
2016-01-15,158.74267578125,-0.021466051417766918,1.0,1.0,-0.021466051417766918,1.0681830864836968,0.0,0.0,-0.0,1.0365856910387448,0.0,0.0,-0.0,0.8862503452923322,0.0,0.0,-0.0,0.8757480164104817,0.0,0.0,-0.0,0.8683420335855
2016-01-19,158.9539337158203,0.0013308200427553096,1.0,1.0,0.0013308200427553096,1.0696046459445214,0.0,0.0,0.0,1.0365856910387448,0.0,0.0,0.0,0.8862503452923322,0.0,0.0,0.0,0.8757480164104817,0.0,0.0,0.0,0.8683420335855
2016-01-20,156.91696166992188,-0.012814857728152607,1.0,1.0,-0.012814857728152607,1.0558978145813713,0.0,0.0,-0.0,1.0365856910387448,0.0,0.0,-0.0,0.8862503452923322,0.0,0.0,-0.0,0.8757480164104817,0.0,0.0,-0.0,0.8683420335855
2016-01-21,157.7960205078125,0.005602063846607885,1.0,1.0,0.005602063846607885,1.06181302155415,0.0,0.0,0.0,1.0365856910387448,0.0,0.0,0.0,0.8862503452923322,0.0,0.0,0.0,0.8757480164104817,0.0,0.0,0.0,0.8683420335855
2016-01-22,161.03321838378906,0.020515079312892315,1.0,1.0,0.020515079312892315,1.0835961999067951,0.0,0.0,0.0,1.0365856910387448,0.0,0.0,0.0,0.8862503452923322,1.0,0.0,0.0,0.8757480164104817,0.0,0.0,0.0,0.8683420335855
2016-01-25,158.59893798828125,-0.015116635064115869,1.0,1.0,-0.015116635064115869,1.0672158715959414,0.0,0.0,-0.0,1.0365856910387448,0.0,0.0,-0.0,0.8862503452923322,0.0,1.0,-0.01531663506411587,0.8623345036349991,0.0,0.0,-0.0,0.8683420335855
2016-01-26,160.7627410888672,0.013643238271531244,1.0,1.0,0.013643238271531244,1.0817761520192848,0.0,0.0,0.0,1.0365856910387448,0.0,0.0,0.0,0.8862503452923322,1.0,0.0,-0.0002,0.862162036734272,0.0,0.0,0.0,0.8683420335855
2016-01-27,159.01316833496094,-0.010882949258367747,1.0,1.0,-0.010882949258367747,1.0700032370479466,0.0,0.0,-0.0,1.0365856910387448,0.0,0.0,-0.0,0.8862503452923322,1.0,1.0,-0.011082949258367747,0.8526067386286551,0.0,0.0,-0.0,0.8683420335855
