split,model_family,target,accuracy,balanced_accuracy,precision,recall,f1,brier,true_positive_rate,predicted_positive_rate,is_degenerate_classifier,n_predictions,roc_auc,first_prediction_date,last_prediction_date
2,combined_baseline_majority,next_5d_positive_return,0.50199203187251,0.5,0.50199203187251,1.0,0.6684350132625995,0.49800796812749004,0.50199203187251,1.0,1.0,251.0,0.5,,
2,combined_logistic,next_5d_positive_return,0.50199203187251,0.5,0.50199203187251,1.0,0.6684350132625995,0.2787480129786923,0.50199203187251,1.0,1.0,251.0,0.6469206349206349,2022-02-03,2023-02-02
2,combined_logistic_l2,next_5d_positive_return,0.50199203187251,0.5,0.50199203187251,1.0,0.6684350132625995,0.2787480129786923,0.50199203187251,1.0,1.0,251.0,0.6469206349206349,2022-02-03,2023-02-02
2,combined_logistic_elasticnet,next_5d_positive_return,0.50199203187251,0.5,0.50199203187251,1.0,0.6684350132625995,0.2751308230758955,0.50199203187251,1.0,1.0,251.0,0.641079365079365,2022-02-03,2023-02-02
2,combined_random_forest,next_5d_positive_return,0.5099601593625498,0.5080317460317461,0.5060728744939271,0.9920634920634921,0.6702412868632708,0.3279147046386918,0.50199203187251,0.9840637450199203,0.0,251.0,0.5502222222222222,2022-02-03,2023-02-02
3,combined_baseline_majority,next_5d_positive_return,0.6334661354581673,0.5,0.6334661354581673,1.0,0.775609756097561,0.3665338645418327,0.6334661354581673,1.0,1.0,251.0,0.5,,
3,combined_logistic,next_5d_positive_return,0.6334661354581673,0.5,0.6334661354581673,1.0,0.775609756097561,0.23588053051775357,0.6334661354581673,1.0,1.0,251.0,0.4111293409898824,2023-02-03,2024-02-02
3,combined_logistic_l2,next_5d_positive_return,0.6334661354581673,0.5,0.6334661354581673,1.0,0.775609756097561,0.23588053051775357,0.6334661354581673,1.0,1.0,251.0,0.4111293409898824,2023-02-03,2024-02-02
3,combined_logistic_elasticnet,next_5d_positive_return,0.6334661354581673,0.5,0.6334661354581673,1.0,0.775609756097561,0.23471045739227508,0.6334661354581673,1.0,1.0,251.0,0.4276045939294504,2023-02-03,2024-02-02
3,combined_random_forest,next_5d_positive_return,0.549800796812749,0.4637339349193328,0.6127450980392157,0.7861635220125787,0.6887052341597796,0.265080693261947,0.6334661354581673,0.8127490039840638,0.0,251.0,0.4128383921246924,2023-02-03,2024-02-02
4,combined_baseline_majority,next_5d_positive_return,0.6305220883534136,0.5,0.6305220883534136,1.0,0.7733990147783252,0.36947791164658633,0.6305220883534136,1.0,1.0,249.0,0.5,,
4,combined_logistic,next_5d_positive_return,0.6305220883534136,0.5,0.6305220883534136,1.0,0.7733990147783252,0.23305337917599236,0.6305220883534136,1.0,1.0,249.0,0.512600387704237,2024-02-05,2025-01-31
4,combined_logistic_l2,next_5d_positive_return,0.6305220883534136,0.5,0.6305220883534136,1.0,0.7733990147783252,0.23305337917599236,0.6305220883534136,1.0,1.0,249.0,0.512600387704237,2024-02-05,2025-01-31
4,combined_logistic_elasticnet,next_5d_positive_return,0.6305220883534136,0.5,0.6305220883534136,1.0,0.7733990147783252,0.2333159168388686,0.6305220883534136,1.0,1.0,249.0,0.5060232622542232,2024-02-05,2025-01-31
4,combined_random_forest,next_5d_positive_return,0.5983935742971888,0.4902727776239269,0.6255506607929515,0.9044585987261147,0.7395833333333334,0.2377858408256456,0.6305220883534136,0.9116465863453815,0.0,249.0,0.5172389919689836,2024-02-05,2025-01-31
5,combined_baseline_majority,next_5d_positive_return,0.6334661354581673,0.5,0.6334661354581673,1.0,0.775609756097561,0.3665338645418327,0.6334661354581673,1.0,1.0,251.0,0.5,,
5,combined_logistic,next_5d_positive_return,0.6454183266932271,0.5185944763467323,0.6422764227642277,0.9937106918238994,0.7802469135802469,0.23073588239469978,0.6334661354581673,0.9800796812749004,0.0,251.0,0.45952966912770027,2025-02-03,2026-02-02
5,combined_logistic_l2,next_5d_positive_return,0.6454183266932271,0.5185944763467323,0.6422764227642277,0.9937106918238994,0.7802469135802469,0.23073588239469978,0.6334661354581673,0.9800796812749004,0.0,251.0,0.45952966912770027,2025-02-03,2026-02-02
5,combined_logistic_elasticnet,next_5d_positive_return,0.6454183266932271,0.5185944763467323,0.6422764227642277,0.9937106918238994,0.7802469135802469,0.23107249525279222,0.6334661354581673,0.9800796812749004,0.0,251.0,0.46855345911949686,2025-02-03,2026-02-02
5,combined_random_forest,next_5d_positive_return,0.649402390438247,0.565251572327044,0.6698564593301436,0.8805031446540881,0.7608695652173914,0.2433697164934083,0.6334661354581673,0.8326693227091634,0.0,251.0,0.48591741864916604,2025-02-03,2026-02-02
6,combined_baseline_majority,next_5d_positive_return,0.5955056179775281,0.5,0.5955056179775281,1.0,0.7464788732394366,0.4044943820224719,0.5955056179775281,1.0,1.0,89.0,0.5,,
6,combined_logistic,next_5d_positive_return,0.5955056179775281,0.5,0.5955056179775281,1.0,0.7464788732394366,0.24432916659064455,0.5955056179775281,1.0,1.0,89.0,0.3841719077568134,2026-02-03,2026-06-10
6,combined_logistic_l2,next_5d_positive_return,0.5955056179775281,0.5,0.5955056179775281,1.0,0.7464788732394366,0.24432916659064455,0.5955056179775281,1.0,1.0,89.0,0.3841719077568134,2026-02-03,2026-06-10
6,combined_logistic_elasticnet,next_5d_positive_return,0.5955056179775281,0.5,0.5955056179775281,1.0,0.7464788732394366,0.24275312198702365,0.5955056179775281,1.0,1.0,89.0,0.42085953878406707,2026-02-03,2026-06-10
6,combined_random_forest,next_5d_positive_return,0.5280898876404494,0.47903563941299787,0.582089552238806,0.7358490566037735,0.65,0.27931534406270647,0.5955056179775281,0.7528089887640449,0.0,89.0,0.3668763102725367,2026-02-03,2026-06-10
0,price_only_baseline_majority,next_21d_positive_return,0.7549407114624506,0.5,0.7549407114624506,1.0,0.8603603603603603,0.2450592885375494,0.7549407114624506,1.0,1.0,253.0,0.5,,
