target,model_name,feature_group,train_start,train_end,test_start,test_end,n_predictions,first_prediction_date,last_prediction_date,positive_rate_actual,positive_rate_predicted,accuracy,balanced_accuracy,precision,recall,F1,Brier_score,average_predicted_probability,degenerate_classifier,ROC_AUC
next_5d_vol_expansion,random_forest,extreme_vrp,2015-02-02,2021-02-02,2021-02-03,2022-02-02,253,2021-02-03,2022-02-02,0.4031620553359684,0.17786561264822134,0.6561264822134387,0.5973899493572263,0.6666666666666666,0.29411764705882354,0.40816326530612246,0.23605557865043253,0.37254653441640373,False,0.5850863524217635
next_5d_vol_expansion,random_forest,extreme_vrp,2015-02-02,2022-02-02,2022-02-03,2023-02-02,251,2022-02-03,2023-02-02,0.42231075697211157,0.13147410358565736,0.6215139442231076,0.5658425504229018,0.6666666666666666,0.20754716981132076,0.31654676258992803,0.2453510545127908,0.30578644409937056,False,0.6124593363695511
next_5d_vol_expansion,random_forest,extreme_vrp,2015-02-02,2023-02-02,2023-02-03,2024-02-02,251,2023-02-03,2024-02-02,0.4103585657370518,0.1553784860557769,0.6175298804780877,0.5575964313828392,0.5897435897435898,0.22330097087378642,0.323943661971831,0.2483757868384407,0.37308123020731065,False,0.5635659931776437
next_5d_vol_expansion,random_forest,extreme_vrp,2015-02-02,2024-02-02,2024-02-03,2025-02-02,249,2024-02-05,2025-01-31,0.37349397590361444,0.2248995983935743,0.6345381526104418,0.5693755169561621,0.5178571428571429,0.3118279569892473,0.38926174496644295,0.23630597120321906,0.4042340577578304,False,0.6329266611524677
next_5d_vol_expansion,random_forest,extreme_vrp,2015-02-02,2025-02-02,2025-02-03,2026-02-02,251,2025-02-03,2026-02-02,0.3187250996015936,0.14741035856573706,0.7091633466135459,0.593640350877193,0.5945945945945946,0.275,0.37606837606837606,0.2004941791136558,0.34784735391993493,False,0.6505482456140351
next_5d_vol_expansion,random_forest,extreme_vrp,2015-02-02,2026-02-02,2026-02-03,2026-06-10,89,2026-02-03,2026-06-10,0.4606741573033708,0.29213483146067415,0.7415730337078652,0.7266260162601625,0.8461538461538461,0.5365853658536586,0.6567164179104478,0.20093076553780712,0.41735031033716025,False,0.735010162601626
next_5d_vol_expansion,logistic,combined,2015-02-02,2020-02-02,2020-02-03,2021-02-02,253,2020-02-03,2021-02-02,0.308300395256917,0.5612648221343873,0.6047430830039525,0.6503296703296704,0.4225352112676056,0.7692307692307693,0.5454545454545454,0.2936142284482727,0.5371807052893007,False,0.7553113553113553
next_5d_vol_expansion,logistic,combined,2015-02-02,2021-02-02,2021-02-03,2022-02-02,253,2021-02-03,2022-02-02,0.4031620553359684,0.2015810276679842,0.6956521739130435,0.6432281521880275,0.7450980392156863,0.37254901960784315,0.49673202614379086,0.19058834864208068,0.3093616230413066,False,0.7947019867549668
next_5d_vol_expansion,logistic,combined,2015-02-02,2022-02-02,2022-02-03,2023-02-02,251,2022-02-03,2023-02-02,0.42231075697211157,0.06374501992031872,0.6414342629482072,0.5754716981132075,1.0,0.1509433962264151,0.26229508196721313,0.2675124746771844,0.17798200969872238,False,0.6996746909564086
next_5d_vol_expansion,logistic,combined,2015-02-02,2023-02-02,2023-02-03,2024-02-02,251,2023-02-03,2024-02-02,0.4103585657370518,0.13545816733067728,0.6772908366533864,0.6156520598268171,0.8235294117647058,0.27184466019417475,0.40875912408759124,0.21512941580712738,0.29728449552548664,False,0.746457622671215
next_5d_vol_expansion,logistic,combined,2015-02-02,2024-02-02,2024-02-03,2025-02-02,249,2024-02-05,2025-01-31,0.37349397590361444,0.30522088353413657,0.7309236947791165,0.6940653432588917,0.6710526315789473,0.5483870967741935,0.6035502958579881,0.20344519323236257,0.41060358465452246,False,0.73607664736697
next_5d_vol_expansion,logistic,combined,2015-02-02,2025-02-02,2025-02-03,2026-02-02,251,2025-02-03,2026-02-02,0.3187250996015936,0.35856573705179284,0.6812749003984063,0.649671052631579,0.5,0.5625,0.5294117647058824,0.1985276621218355,0.4298930533247647,False,0.7325292397660819
next_5d_vol_expansion,logistic,combined,2015-02-02,2026-02-02,2026-02-03,2026-06-10,89,2026-02-03,2026-06-10,0.4606741573033708,0.5280898876404494,0.7303370786516854,0.7339939024390244,0.6808510638297872,0.7804878048780488,0.7272727272727273,0.17222200603658525,0.5052554241155871,False,0.8419715447154472
next_5d_vol_expansion,random_forest,combined,2015-02-02,2020-02-02,2020-02-03,2021-02-02,253,2020-02-03,2021-02-02,0.308300395256917,0.5335968379446641,0.616600790513834,0.6517948717948718,0.42962962962962964,0.7435897435897436,0.5446009389671361,0.21174739537895412,0.47187145358677635,False,0.7445054945054944
next_5d_vol_expansion,random_forest,combined,2015-02-02,2021-02-02,2021-02-03,2022-02-02,253,2021-02-03,2022-02-02,0.4031620553359684,0.2134387351778656,0.7154150197628458,0.6661472536034281,0.7777777777777778,0.4117647058823529,0.5384615384615384,0.19101983562033084,0.4144608062907064,False,0.7695753798208025
next_5d_vol_expansion,random_forest,combined,2015-02-02,2022-02-02,2022-02-03,2023-02-02,251,2022-02-03,2023-02-02,0.42231075697211157,0.11952191235059761,0.6812749003984063,0.6251789199739752,0.9333333333333333,0.2641509433962264,0.4117647058823529,0.2505664313908256,0.21623224212681907,False,0.6860767729342877
next_5d_vol_expansion,random_forest,combined,2015-02-02,2023-02-02,2023-02-03,2024-02-02,251,2023-02-03,2024-02-02,0.4103585657370518,0.2350597609561753,0.7051792828685259,0.6629165573340331,0.7457627118644068,0.42718446601941745,0.5432098765432098,0.21057382905458813,0.3450405703098094,False,0.7160850170558909
next_5d_vol_expansion,random_forest,combined,2015-02-02,2024-02-02,2024-02-03,2025-02-02,249,2024-02-05,2025-01-31,0.37349397590361444,0.41365461847389556,0.6706827309236948,0.6590157154673284,0.5533980582524272,0.6129032258064516,0.5816326530612245,0.21595499746274077,0.40999371859529604,False,0.7185001378549766
next_5d_vol_expansion,random_forest,combined,2015-02-02,2025-02-02,2025-02-03,2026-02-02,251,2025-02-03,2026-02-02,0.3187250996015936,0.38645418326693226,0.6852589641434262,0.6658991228070176,0.5051546391752577,0.6125,0.5536723163841808,0.19320228599385358,0.4332064141725299,False,0.7429093567251462
next_5d_vol_expansion,random_forest,combined,2015-02-02,2026-02-02,2026-02-03,2026-06-10,89,2026-02-03,2026-06-10,0.4606741573033708,0.3595505617977528,0.8314606741573034,0.8224085365853658,0.90625,0.7073170731707317,0.7945205479452054,0.1586081756872959,0.45052396956052226,False,0.9242886178861789
next_21d_vol_expansion,logistic,rv_only,2014-04-03,2019-04-03,2019-04-04,2020-04-03,253,2019-04-04,2020-04-03,0.5454545454545454,0.4150197628458498,0.7035573122529645,0.7130434782608697,0.8,0.6086956521739131,0.691358024691358,0.21853740796132173,0.40894457370019704,False,0.7771896660365469
next_21d_vol_expansion,logistic,rv_only,2014-04-03,2020-04-03,2020-04-04,2021-04-03,250,2020-04-06,2021-04-01,0.412,0.22,0.696,0.6514100785945446,0.7454545454545455,0.39805825242718446,0.5189873417721519,0.19553094610270597,0.3131280810179847,False,0.8016643550624134
next_21d_vol_expansion,logistic,rv_only,2014-04-03,2021-04-03,2021-04-04,2022-04-03,253,2021-04-05,2022-04-01,0.5691699604743083,0.40711462450592883,0.7351778656126482,0.7528669724770642,0.8737864077669902,0.625,0.728744939271255,0.218637223427368,0.42554053036180645,False,0.7765035677879715
next_21d_vol_expansion,logistic,rv_only,2014-04-03,2022-04-03,2022-04-04,2023-04-03,251,2022-04-04,2023-04-03,0.40239043824701193,0.03187250996015936,0.6135458167330677,0.523036303630363,0.75,0.0594059405940594,0.11009174311926606,0.22802422957270105,0.27756441608047194,False,0.6957755775577558
next_21d_vol_expansion,logistic,rv_only,2014-04-03,2023-04-03,2023-04-04,2024-04-03,251,2023-04-04,2024-04-03,0.5378486055776892,0.5697211155378487,0.7529880478087649,0.7491379310344828,0.7552447552447552,0.8,0.7769784172661871,0.21429923243581586,0.5104181297656067,False,0.7999361430395914
next_21d_vol_expansion,logistic,rv_only,2014-04-03,2024-04-03,2024-04-04,2025-04-03,251,2024-04-04,2025-04-03,0.5258964143426295,0.47808764940239046,0.7211155378486056,0.7228482302011714,0.7583333333333333,0.6893939393939394,0.7222222222222222,0.21080344066685,0.4763903763682841,False,0.7592309651133181
next_21d_vol_expansion,logistic,rv_only,2014-04-03,2025-04-03,2025-04-04,2026-04-03,250,2025-04-04,2026-04-02,0.456,0.612,0.596,0.6066821465428277,0.5424836601307189,0.7280701754385965,0.6217228464419475,0.24229965978253296,0.5101701409844989,False,0.6256449948400413
next_21d_vol_expansion,logistic,rv_only,2014-04-03,2026-04-03,2026-04-04,2026-05-18,31,2026-04-06,2026-05-18,0.2903225806451613,0.41935483870967744,0.8709677419354839,0.9090909090909092,0.6923076923076923,1.0,0.8181818181818182,0.12459779474120626,0.3978844825399111,False,0.9898989898989898
next_21d_vol_expansion,random_forest,rv_only,2014-04-03,2019-04-03,2019-04-04,2020-04-03,253,2019-04-04,2020-04-03,0.5454545454545454,0.5098814229249012,0.5533596837944664,0.5528985507246377,0.5968992248062015,0.5579710144927537,0.5767790262172284,0.2917221361299123,0.4447806646899445,False,0.5906427221172023
next_21d_vol_expansion,random_forest,rv_only,2014-04-03,2020-04-03,2020-04-04,2021-04-03,250,2020-04-06,2021-04-01,0.412,0.256,0.612,0.5712634568390463,0.546875,0.33980582524271846,0.41916167664670656,0.24367625244660504,0.31508703833361595,False,0.6415032032230368
next_21d_vol_expansion,random_forest,rv_only,2014-04-03,2021-04-03,2021-04-04,2022-04-03,253,2021-04-05,2022-04-01,0.5691699604743083,0.33201581027667987,0.7233201581027668,0.7513697757390418,0.9404761904761905,0.5486111111111112,0.6929824561403509,0.19211666129442734,0.4181678626490006,False,0.8336518858307849
next_21d_vol_expansion,random_forest,rv_only,2014-04-03,2022-04-03,2022-04-04,2023-04-03,251,2022-04-04,2023-04-03,0.40239043824701193,0.1394422310756972,0.5936254980079682,0.5241584158415842,0.4857142857142857,0.16831683168316833,0.25,0.3164108081568843,0.2083117253175495,False,0.6258415841584158
next_21d_vol_expansion,random_forest,rv_only,2014-04-03,2023-04-03,2023-04-04,2024-04-03,251,2023-04-04,2024-04-03,0.5378486055776892,0.3346613545816733,0.6613545816733067,0.6748722860791826,0.7976190476190477,0.4962962962962963,0.6118721461187214,0.22419314319740027,0.4306466505782407,False,0.728352490421456
next_21d_vol_expansion,random_forest,rv_only,2014-04-03,2024-04-03,2024-04-04,2025-04-03,251,2024-04-04,2025-04-03,0.5258964143426295,0.3705179282868526,0.6932270916334662,0.7004710975299211,0.7956989247311828,0.5606060606060606,0.6577777777777778,0.22198830461975144,0.4277149547918323,False,0.7307104660045837
next_21d_vol_expansion,random_forest,rv_only,2014-04-03,2025-04-03,2025-04-04,2026-04-03,250,2025-04-04,2026-04-02,0.456,0.404,0.596,0.5882352941176471,0.5643564356435643,0.5,0.5302325581395348,0.23752420888806283,0.46827877086797853,False,0.6509932920536635
next_21d_vol_expansion,random_forest,rv_only,2014-04-03,2026-04-03,2026-04-04,2026-05-18,31,2026-04-06,2026-05-18,0.2903225806451613,0.3225806451612903,0.9032258064516129,0.898989898989899,0.8,0.8888888888888888,0.8421052631578947,0.0938136637205666,0.3964697779626264,False,0.9898989898989898
next_21d_vol_expansion,logistic,vix_only,2014-12-31,2019-12-31,2020-01-01,2020-12-31,253,2020-01-02,2020-12-31,0.47035573122529645,0.09090909090909091,0.6126482213438735,0.5887056315063339,0.9565217391304348,0.18487394957983194,0.30985915492957744,0.2739397165502191,0.18860353798691099,False,0.7845227643296123
next_21d_vol_expansion,logistic,vix_only,2014-12-31,2020-12-31,2021-01-01,2021-12-31,252,2021-01-04,2021-12-31,0.5396825396825397,0.48412698412698413,0.626984126984127,0.6290567951318458,0.6721311475409836,0.6029411764705882,0.6356589147286822,0.2296486657404786,0.47600251870298516,False,0.6869929006085193
next_21d_vol_expansion,logistic,vix_only,2014-12-31,2021-12-31,2022-01-01,2022-12-31,251,2022-01-03,2022-12-30,0.4940239043824701,0.20717131474103587,0.6095617529880478,0.6060769621539243,0.75,0.31451612903225806,0.4431818181818182,0.23358018998745006,0.37077790593405147,False,0.7154559309118618
next_21d_vol_expansion,logistic,vix_only,2014-12-31,2022-12-31,2023-01-01,2023-12-31,250,2023-01-03,2023-12-29,0.456,0.712,0.552,0.5712074303405573,0.5056179775280899,0.7894736842105263,0.6164383561643836,0.24178494428403202,0.5352071794058156,False,0.6262899896800825
