split,model_family,target,mse,rmse,mae,r2,oos_r2,information_coefficient,directional_hit_rate,n_predictions,first_prediction_date,last_prediction_date,newey_west_tstat
0,realized_vol_only_elastic_net,next_21d_return,0.00667154100230323,0.08167950172658517,0.05146401589422027,-0.008072921682427792,0.0,,0.6363636363636364,253.0,2019-04-04,2020-04-03,1.3334040489344088
1,realized_vol_only_baseline_mean,next_21d_return,0.0017878376826624515,0.0422828296435143,0.03495673513487159,-0.6632473422181859,0.0,,0.86,250.0,2020-04-06,2021-04-01,
1,realized_vol_only_linear,next_21d_return,0.07159256786866967,0.26756787525536335,0.13969290431595416,-65.60344470019866,-39.04422133112995,0.2437567321077137,0.868,250.0,2020-04-06,2021-04-01,3.564200346082205
1,realized_vol_only_ridge,next_21d_return,0.0015615195562162204,0.03951606706412242,0.03140370656862358,-0.45270081108851223,0.12658762517478528,0.23167743483895742,0.86,250.0,2020-04-06,2021-04-01,3.564200346082205
1,realized_vol_only_elastic_net,next_21d_return,0.0017878376826624515,0.0422828296435143,0.03495673513487159,-0.6632473422181859,0.0,,0.86,250.0,2020-04-06,2021-04-01,3.564200346082205
2,realized_vol_only_baseline_mean,next_21d_return,0.0014330733742260301,0.037855955597845235,0.028940271542012848,-0.028410532489737905,0.0,,0.6363636363636364,253.0,2021-04-05,2022-04-01,
2,realized_vol_only_linear,next_21d_return,0.0014818709526017294,0.03849507699176259,0.029740649077643233,-0.06342893731403065,-0.03405099784374532,-0.19990411277641681,0.6363636363636364,253.0,2021-04-05,2022-04-01,3.8245218942228045
2,realized_vol_only_ridge,next_21d_return,0.0014746659807148834,0.0384013799324306,0.029481821757468493,-0.058258463067569544,-0.029023361425102534,-0.11910541814684235,0.6363636363636364,253.0,2021-04-05,2022-04-01,3.8245218942228045
2,realized_vol_only_elastic_net,next_21d_return,0.0014330733742260301,0.037855955597845235,0.028940271542012848,-0.028410532489737905,0.0,,0.6363636363636364,253.0,2021-04-05,2022-04-01,3.8245218942228045
3,realized_vol_only_baseline_mean,next_21d_return,0.003671485764702256,0.060592786408138186,0.0514111667437602,-0.04787025693132563,0.0,,0.4940239043824701,251.0,2022-04-04,2023-04-03,
3,realized_vol_only_linear,next_21d_return,0.004025962173345173,0.06345047023738416,0.053547719165097436,-0.14904054852603377,-0.09654849054594239,0.0976414342629482,0.4940239043824701,251.0,2022-04-04,2023-04-03,3.862700758027832
3,realized_vol_only_ridge,next_21d_return,0.003934152426082351,0.06272282221075795,0.05310745538785014,-0.1228373409913599,-0.0715423341431356,0.13415822424587365,0.4940239043824701,251.0,2022-04-04,2023-04-03,3.862700758027832
3,realized_vol_only_elastic_net,next_21d_return,0.003671485764702256,0.060592786408138186,0.0514111667437602,-0.04787025693132563,0.0,,0.4940239043824701,251.0,2022-04-04,2023-04-03,3.862700758027832
4,realized_vol_only_baseline_mean,next_21d_return,0.0011992824352206198,0.0346306574471323,0.029311140525355512,-0.08262364538168443,0.0,,0.7330677290836654,251.0,2023-04-04,2024-04-03,
4,realized_vol_only_linear,next_21d_return,0.001274316242178308,0.03569756633411174,0.030341269709598995,-0.15035862692542246,-0.062565584848147,0.13627926389679376,0.7330677290836654,251.0,2023-04-04,2024-04-03,3.8539162298887955
4,realized_vol_only_ridge,next_21d_return,0.0012673440903633727,0.0355997765493461,0.030305897870302606,-0.14406468298664432,-0.05675198197181319,0.3156160121419086,0.7330677290836654,251.0,2023-04-04,2024-04-03,3.8539162298887955
4,realized_vol_only_elastic_net,next_21d_return,0.0011992824352206198,0.0346306574471323,0.029311140525355512,-0.08262364538168443,0.0,,0.7330677290836654,251.0,2023-04-04,2024-04-03,3.8539162298887955
5,realized_vol_only_baseline_mean,next_21d_return,0.0015035145524614293,0.038775179592897176,0.030072597799608126,-0.013713444842970768,0.0,,0.6533864541832669,251.0,2024-04-04,2025-04-03,
